Datum;BundeslandID;Bevölkerung;Name;GemeldeteImpfungenLaender;GemeldeteImpfungenLaenderPro100
2021-01-24T23:59:59+01:00;2;561293;Kärnten;12014;Feb.14
2021-01-24T23:59:59+01:00;3;1684287;Niederösterreich;26890;Jän.60
2021-01-24T23:59:59+01:00;4;1490279;Oberösterreich;27466;Jän.84
2021-01-24T23:59:59+01:00;5;558410;Salzburg;6316;Jän.13
2021-01-24T23:59:59+01:00;6;1246395;Steiermark;31212;Feb.50
2021-01-24T23:59:59+01:00;7;757634;Tirol;13349;Jän.76
2021-01-24T23:59:59+01:00;8;397139;Vorarlberg;12474;Mär.14
2021-01-24T23:59:59+01:00;9;1911191;Wien;36503;Jän.91
2021-01-24T23:59:59+01:00;10;8901064;Österreich;171416;Jän.93
2021-01-25T23:59:59+01:00;1;294436;Burgenland;5210;Jän.77
2021-01-25T23:59:59+01:00;2;561293;Kärnten;12622;Feb.25
2021-01-25T23:59:59+01:00;3;1684287;Niederösterreich;29754;Jän.77
2021-01-25T23:59:59+01:00;4;1490279;Oberösterreich;27949;Jän.88
2021-01-25T23:59:59+01:00;5;558410;Salzburg;6670;Jän.19
2021-01-25T23:59:59+01:00;6;1246395;Steiermark;31212;Feb.50
2021-01-25T23:59:59+01:00;7;757634;Tirol;13647;Jän.80
2021-01-25T23:59:59+01:00;8;397139;Vorarlberg;12474;Mär.14
2021-01-25T23:59:59+01:00;9;1911191;Wien;37641;Jän.97
2021-01-25T23:59:59+01:00;10;8901064;Österreich;177179;Jän.99
2021-01-26T23:59:59+01:00;1;294436;Burgenland;5210;Jän.77
2021-01-26T23:59:59+01:00;2;561293;Kärnten;12626;Feb.25
2021-01-26T23:59:59+01:00;3;1684287;Niederösterreich;30810;Jän.83
2021-01-26T23:59:59+01:00;4;1490279;Oberösterreich;35383;Feb.37
2021-01-26T23:59:59+01:00;5;558410;Salzburg;6802;Jän.22
2021-01-26T23:59:59+01:00;6;1246395;Steiermark;31212;Feb.50
2021-01-26T23:59:59+01:00;7;757634;Tirol;13715;Jän.81
2021-01-26T23:59:59+01:00;8;397139;Vorarlberg;12474;Mär.14
2021-01-26T23:59:59+01:00;9;1911191;Wien;39374;02.Jun
2021-01-26T23:59:59+01:00;10;8901064;Österreich;187606;02.Nov
2021-01-27T23:59:59+01:00;1;294436;Burgenland;5278;Jän.79
2021-01-27T23:59:59+01:00;2;561293;Kärnten;12993;Feb.31
2021-01-27T23:59:59+01:00;3;1684287;Niederösterreich;31404;Jän.86
2021-01-27T23:59:59+01:00;4;1490279;Oberösterreich;30826;02.Jul
2021-01-27T23:59:59+01:00;5;558410;Salzburg;7100;Jän.27
2021-01-27T23:59:59+01:00;6;1246395;Steiermark;33972;Feb.73
2021-01-27T23:59:59+01:00;7;757634;Tirol;14226;Jän.88
2021-01-27T23:59:59+01:00;8;397139;Vorarlberg;12665;Mär.19
2021-01-27T23:59:59+01:00;9;1911191;Wien;43285;Feb.26
2021-01-27T23:59:59+01:00;10;8901064;Österreich;191749;Feb.15
2021-01-28T23:59:59+01:00;1;294436;Burgenland;5492;Jän.87
2021-01-28T23:59:59+01:00;2;561293;Kärnten;13250;Feb.36
2021-01-28T23:59:59+01:00;3;1684287;Niederösterreich;31938;Jän.90
2021-01-28T23:59:59+01:00;4;1490279;Oberösterreich;33186;Feb.23
2021-01-28T23:59:59+01:00;5;558410;Salzburg;7988;Jän.43
2021-01-28T23:59:59+01:00;6;1246395;Steiermark;34116;Feb.74
2021-01-28T23:59:59+01:00;7;757634;Tirol;14226;Jän.88
2021-01-28T23:59:59+01:00;8;397139;Vorarlberg;12665;Mär.19
2021-01-28T23:59:59+01:00;9;1911191;Wien;45230;Feb.37
2021-01-28T23:59:59+01:00;10;8901064;Österreich;198091;Feb.23
2021-01-29T23:59:59+01:00;1;294436;Burgenland;5805;Jän.97
2021-01-29T23:59:59+01:00;2;561293;Kärnten;13555;Feb.41
2021-01-29T23:59:59+01:00;3;1684287;Niederösterreich;34122;02.Mär
2021-01-29T23:59:59+01:00;4;1490279;Oberösterreich;36481;Feb.45
2021-01-29T23:59:59+01:00;5;558410;Salzburg;8885;Jän.59
2021-01-29T23:59:59+01:00;6;1246395;Steiermark;34596;Feb.78
2021-01-29T23:59:59+01:00;7;757634;Tirol;15000;Jän.98
2021-01-29T23:59:59+01:00;8;397139;Vorarlberg;12665;Mär.19
2021-01-29T23:59:59+01:00;9;1911191;Wien;47769;Feb.50
2021-01-29T23:59:59+01:00;10;8901064;Österreich;208878;Feb.35
2021-01-30T23:59:59+01:00;1;294436;Burgenland;6083;02.Jul
2021-01-30T23:59:59+01:00;2;561293;Kärnten;13555;Feb.41
2021-01-30T23:59:59+01:00;3;1684287;Niederösterreich;36060;Feb.14
2021-01-30T23:59:59+01:00;4;1490279;Oberösterreich;43661;Feb.93
2021-01-30T23:59:59+01:00;5;558410;Salzburg;9005;Jän.61
2021-01-30T23:59:59+01:00;6;1246395;Steiermark;36780;Feb.95
2021-01-30T23:59:59+01:00;7;757634;Tirol;15000;Jän.98
2021-01-30T23:59:59+01:00;8;397139;Vorarlberg;12677;Mär.19
2021-01-30T23:59:59+01:00;9;1911191;Wien;47826;Feb.50
2021-01-30T23:59:59+01:00;10;8901064;Österreich;220647;Feb.48
2021-01-31T23:59:59+01:00;1;294436;Burgenland;6152;02.Sep
2021-01-31T23:59:59+01:00;2;561293;Kärnten;14966;Feb.67
2021-01-31T23:59:59+01:00;3;1684287;Niederösterreich;37074;Feb.20
2021-01-31T23:59:59+01:00;4;1490279;Oberösterreich;44854;03.Jän
2021-01-31T23:59:59+01:00;5;558410;Salzburg;9079;Jän.63
2021-01-31T23:59:59+01:00;6;1246395;Steiermark;37134;Feb.98
2021-01-31T23:59:59+01:00;7;757634;Tirol;15000;Jän.98
2021-01-31T23:59:59+01:00;8;397139;Vorarlberg;12677;Mär.19
2021-01-31T23:59:59+01:00;9;1911191;Wien;47856;Feb.50
2021-01-31T23:59:59+01:00;10;8901064;Österreich;224792;Feb.53
2021-02-01T23:59:59+01:00;1;294436;Burgenland;6152;02.Sep
2021-02-01T23:59:59+01:00;2;561293;Kärnten;14971;Feb.67
2021-02-01T23:59:59+01:00;3;1684287;Niederösterreich;37074;Feb.20
2021-02-01T23:59:59+01:00;4;1490279;Oberösterreich;45118;03.Mär
2021-02-01T23:59:59+01:00;5;558410;Salzburg;10068;Jän.80
2021-02-01T23:59:59+01:00;6;1246395;Steiermark;37134;Feb.98
2021-02-01T23:59:59+01:00;7;757634;Tirol;15698;02.Jul
2021-02-01T23:59:59+01:00;8;397139;Vorarlberg;12677;Mär.19
2021-02-01T23:59:59+01:00;9;1911191;Wien;48910;Feb.56
2021-02-01T23:59:59+01:00;10;8901064;Österreich;227802;Feb.56
2021-02-02T23:59:59+01:00;1;294436;Burgenland;6092;02.Jul
2021-02-02T23:59:59+01:00;2;561293;Kärnten;15028;Feb.68
2021-02-02T23:59:59+01:00;3;1684287;Niederösterreich;46458;Feb.76
2021-02-02T23:59:59+01:00;4;1490279;Oberösterreich;45191;03.Mär
2021-02-02T23:59:59+01:00;5;558410;Salzburg;11022;Jän.97
2021-02-02T23:59:59+01:00;6;1246395;Steiermark;37692;03.Feb
2021-02-02T23:59:59+01:00;7;757634;Tirol;16201;Feb.14
2021-02-02T23:59:59+01:00;8;397139;Vorarlberg;12677;Mär.19
2021-02-02T23:59:59+01:00;9;1911191;Wien;50897;Feb.66
2021-02-02T23:59:59+01:00;10;8901064;Österreich;241258;Feb.71
